Job Title,Company,Location,Job Type,Required Skills
Data Scientist,Egabi FSI -,"Sheraton, Cairo, Egypt",Full Time,Full TimeOn-siteEntry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Data Mining · Data Science · data scientist · Hadoop · Machine Learning · Python · SQL
Information Analyst – Data Scientist,Confidential -,"Maadi, Cairo, Egypt",Full Time,Full TimeRemoteExperienced · 5 - 8 Yrs of Exp · IT/Software Development · analytical · Business Intelligence · Computer Science · Data Analyst · Data Analysis · Statistics · Analysis · Data · Database
Data Scientist,Lumin -,"Sheikh Zayed, Giza, Egypt",Full Time,Full TimeHybridExperienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Analysis · Mathematics · Data Analysis · Hadoop · Data Science · Information Technology (IT)
Senior Power BI Developer,BI-Technologies -,"New Cairo, Cairo, Egypt",Full Time,Full TimeHybridExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Power BI · SSRS · BI · SQL · Microsoft Power BI · Engineering
ML Data Engineer,Confidential -,"Cairo, Egypt",Full Time,Full TimeOn-siteExperienced · 7 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Cloudera · Hadoop · Hive · Spark · HDFS · Azure Data Lake · PySpark
Data Engineer Team Lead,COB Solution  -,"Maadi, Cairo, Egypt",Full Time,Full TimeOn-siteManager · 4 - 6 Yrs of Exp · IT/Software Development · Computer Science · Engineering · Data · Information Technology (IT) · Software · Computer Engineering · AWS · Azure · Java
Data Engineer,CreoTech -,"Cairo, Egypt",Full Time,Full TimeOn-siteExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Information Technology (IT) · Maintenance · Engineering · AWS · Data
AI Engineer,ProVision Group -,"Maadi, Cairo, Egypt",Full Time,Full TimePart TimeFreelance / ProjectHybridExperienced · 2 - 7 Yrs of Exp · IT/Software Development · AI · Computer Vision · Data Science · Machine Learning
MLOps + AI Engineer,Confidential -,"Cairo, Egypt",Full Time,Full TimeOn-siteExperienced · 7 - 8 Yrs of Exp · IT/Software Development · Git · Azure DevOps · Azure Pipelines · DVC · Azure ML · SonarQube · pytest · Grafana · Docker
MLOps Engineer,Confidential -,"Cairo, Egypt",Full Time,Full TimeOn-siteExperienced · 5 - 9 Yrs of Exp · IT/Software Development · Cloudera · MLOps · MLflow · Hadoop
AI Engineering Manager,Link Development -,"Cairo, Egypt",Full Time,Full TimeHybridManager · 5+ Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Computer Science · BI · Software Engineering · SQL · Software Development · Power BI · SSRS
Data Science Intern,Mozn -,"Riyadh, Saudi Arabia",Full Time,Full TimeNot specified · Administration · IT/Software Development · Engineering - Telecom/Technology · Administration · Data Entry · Microsoft Office · Data Science · Information Technology (IT) · Computer Science · Science
Recruitment Specialist,Cloud Secrets -,"Maadi, Cairo, Egypt",Full Time,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · males_preferred · Human Resources · Administration · Applicant Tracking Systems · business · Business Administration · Communication · Human Resources · Hiring · Human Resources (HR) · Microsoft Office
Full Stack Developer,Tripnas -,"Tebin, Cairo, Egypt",Full Time,Full TimeRemoteExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full Stack · React · JavaScript · MongoDB · Node.js · Angular · Computer Science · Information Technology (IT)
Mid-Level Fullstack Developer (Django + React),Nexus Analytica -,"Shorouk City, Cairo, Egypt",Full Time,Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Other · Computer Science · Full Stack Development · Django · React
